uid,tid,pid,twc,tbc,ready_to_battle
1,393,2,1016,4860,False
2,402,4,2610,9419,True
3,80,1,171,176,False
3,380,1,3283,3497,True
3,249,3,2101,4889,False
3,512,1,381,784,True
3,468,3,2317,4169,True
3,91,6,53,3534,False
4,28,6,944,3647,True
4,83,2,3266,4066,False
4,155,6,6744,10343,False
4,644,1,4410,9020,True
5,443,4,808,6005,False
5,337,0,5795,6408,True
5,20,1,4721,12228,False
5,15,4,4687,10648,True
5,450,0,5607,14755,True
5,244,1,1980,3547,True
6,644,0,1622,6593,True
6,394,4,1021,1343,False
6,393,2,781,4300,False
6,35,5,2554,4830,True
6,221,3,3195,10410,True
7,117,4,4921,11320,False
7,589,2,6825,11578,False
7,60,5,1826,4660,True
7,601,0,4278,5991,False
7,261,1,1223,6795,True
7,331,4,362,1582,True
7,7,2,1163,1276,False
8,325,4,24,329,True
8,99,5,3260,13182,False
8,458,0,1581,9014,True
9,579,2,4812,9001,True
9,341,1,1139,8939,False
9,485,5,5164,12353,False
9,258,5,277,480,False
10,196,3,7696,10195,True
10,553,2,9450,10515,True
10,641,0,460,729,False
10,322,1,5681,11139,False
10,308,5,4608,13612,False
10,438,0,6151,8604,True
10,199,5,5851,8818,False
11,240,5,2565,7413,True
11,378,3,2835,3446,False
11,613,1,8627,10095,False
11,264,5,5588,7782,True
12,317,5,3008,4167,False
13,293,2,7663,10471,True
13,172,4,5509,11718,True
13,327,0,6367,8404,True
13,422,1,42,108,False
13,569,3,9380,12030,False
13,405,0,703,1351,True
13,244,6,1055,8177,False
13,385,6,2749,2752,True
13,442,3,4413,8484,False
14,614,6,10087,10610,True
14,532,3,10728,10801,True
14,636,2,521,1079,False
14,522,4,5113,8558,False
14,65,2,3539,3539,False
14,555,4,601,825,False
15,439,6,309,2354,True
15,207,0,862,3617,True
15,76,0,5158,9808,True
15,34,4,1958,3346,False
16,92,2,7596,8292,False
16,293,4,571,3751,True
16,445,1,3015,7755,True
16,386,1,1743,9696,True
16,298,4,6360,12315,True
16,330,2,7600,14631,True
16,230,6,1521,11231,True
16,524,3,7050,11253,False
17,49,2,10997,13113,False
17,134,6,5832,14578,False
17,597,6,3639,5062,False
17,183,0,11402,11566,True
17,31,1,703,4707,False
17,418,3,3834,6637,True
17,545,4,1424,10740,False
17,187,1,5962,10526,True
18,495,1,3,7462,False
18,57,5,2984,5905,True
19,448,0,2867,10208,False
19,91,6,3200,3854,False
19,462,5,6407,9666,True
19,119,2,3204,12038,True
19,316,5,1517,8554,True
19,547,1,1443,10243,False
19,532,2,2548,6110,True
19,148,2,2664,11392,False
20,621,6,26,1115,False
20,337,6,282,2745,True
20,390,1,493,13022,True
21,111,4,1760,10763,False
